鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
永和區,民族里,1566,1631736,12132,30996,1221255,103790,33917,14668,1615,180067,2564,17690,233,12809,1034146,1445320,2571
永和區,民本里,1326,1371824,16431,25074,1098744,53997,18859,6220,826,124272,1943,16248,358,8849,938235,1211009,2773
永和區,民樂里,1611,1865930,15845,37057,1462781,89068,23233,6381,2068,197907,1396,15861,2363,11970,1268048,1671296,9006
永和區,協和里,913,745419,7722,6099,583306,33639,38416,1004,456,60798,351,10317,65,3244,483762,645891,1510
永和區,保平里,1578,1546555,10017,21699,1251523,72913,24565,2735,1439,126295,4797,13640,95,16837,1063636,1359196,3111
永和區,保安里,2482,2932895,18460,51046,2240715,141459,82374,8652,2327,290073,9914,44552,905,42418,1933718,2625795,5876
永和區,民富里,918,758765,4537,4511,643238,32584,10954,1661,536,48706,340,7313,3,4382,531482,647161,950
永和區,秀元里,1026,899497,4718,18408,720666,50203,14868,3117,736,75205,246,8524,133,2672,602052,780873,1954
永和區,永樂里,812,781803,3367,9218,628875,40386,22706,4089,361,63041,87,6409,315,2948,530513,683255,2806
永和區,保順里,3366,4178383,34696,60634,3339297,143747,50246,18540,5669,431813,2752,51491,2132,37366,2890663,3729818,10548
永和區,其他,62,49649,1100,1120,40974,1963,657,321,19,2660,49,192,0,594,33970,42644,106
永和區,合計,70335,70415167,513970,1122636,55096967,3673129,1500734,298210,72759,6600619,158818,799244,35657,542425,46784298,62109407,190771
其他,其他,442,549165,58588,13230,345284,20518,11423,4791,327,80071,244,6390,31,8268,291695,495757,745
其他,合計,442,549165,58588,13230,345284,20518,11423,4791,327,80071,244,6390,31,8268,291695,495757,745
